model,accuracy,precision,recall,sensitivity,specificity,f1_score,roc_auc,pr_auc,balanced_accuracy
Logistic Regression,0.8208589170478857,0.6297061228002238,0.8963130818226359,0.8963130818226359,0.7909287466899886,0.7397204882610124,0.9218523844502806,0.8240588564155615,0.8436209142563122
Random Forest,0.8443234593240682,0.6845238095238095,0.8381308182263596,0.8381308182263596,0.8467798751305784,0.753579295154185,0.9180625166736232,0.8211014113236431,0.842455346678469
XGBoost,0.8326868553338783,0.6498012771848345,0.8911685448309652,0.8911685448309652,0.80948910429269,0.7515818289816896,0.927816847405678,0.8399922128838361,0.8503288245618277
ResNet18 Frozen,0.8109791097737037,0.6139179773874588,0.9012126408623224,0.9012126408623224,0.7751864538541895,0.7303273196515869,0.9196274552086952,0.8165777148468093,0.838199547358256
ResNet18 Finetune,0.875302221217234,0.7210930333606913,0.914747672709456,0.914747672709456,0.8596555158759079,0.8064577090251344,0.9552067042460216,0.8961516173343791,0.8872015942926821
Ensemble Hard Voting,0.8429841192534484,0.6652333318245598,0.9001102400783929,0.9001102400783929,0.8203240774481938,0.7650503630826891,,,0.8602171587632934
Ensemble Soft Voting,0.8524290758553513,0.6799247637397926,0.9077045565899069,0.9077045565899069,0.8305031217355392,0.7774746891884803,0.9448481787782117,0.8795788916248191,0.869103839162723
